"OrderColecta"	"NSiembra"	"Origen"	"Raza"	"Estado"	"Num_Colecta"	"Nombre_comun"	"Raza_Primaria"	"Raza_Secundaria"	"Año._de_colecta"	"Localidad"	"Municipio"	"Estado.1"	"Longitud"	"Latitud"	"Altitud"	"Ruizetal2008_grupo"	"Sanchezetal_grupo"	"Categ.Altitud"	"Rbiogeo"	"DivFloristic"	"PeralesBiog"	"pca$eigenvect[, 1]"	"pca$eigenvect[, 2]"	"ColorByRaza"	"ColorByLong"	"ColorByLat"	"ColorByAlt"	"ColorByGpEc"	"ColorByTax"	"ColorByCategAlt"	"ColorByBiogeo"	"ColorByDivFloristic"	"ColorByPeralesBiog"
1	184	"2009-263"	"Chalqueño"	"Estado de México"	"2009-263"	"Criollo Grande"	"Chalqueño"	NA	2009	"Pahuacán"	"Ayapango"	"Estado de México"	-98.80388889	19.10361111	2536	""	"Cónico"	"high"	"Eje Volcanico"	"Serranias Meridionales"	"Mesa Centra"	-0.10499054970669	0.0537512973516577	"#F4FF00FF"	"#FFF5FFFF"	"#CBFFFFFF"	"#32B700FF"	"white"	"yellow2"	"#FF0000FF"	"#3300FFFF"	"green3"	"green3"
2	140	"Ig-2010-225"	"Zamorano Amarillo"	"Jalisco"	"Jal-377"	"Criollo"	"Zamorano Amarillo"	NA	1974	"Zapotillo"	"Casimiro Castillo"	"Jalisco"	-104.45	19.6	300	"2A_semicalido500-870mm y 4_Jala"	"Ocho Hileras"	"low"	"Costa del Pacifico"	"Serranias Meridionales"	"Sierras del"	0.103983643072289	0.0339308769468411	"#FF0064FF"	"#C5FFFFFF"	"#F3FFFFFF"	"#EEBAA0FF"	"darkgoldenrod"	"mediumblue"	"#00FF00FF"	"#00FF66FF"	"green3"	"gold"
2	125	"Chis-2009-177"	"Tehua"	"Chiapas"	"177"	"Bacalito"	"Tehua"	NA	2009	"San Pablo Huacana"	"Ocotepec"	"Chiapas"	-93.17527778	17.21630556	1525	"3A_muycalido990-1360mm"	"Maduración tardía"	"mid"	"Los Altos de Chiapas"	"Serranias Transismicas"	"Chiapas"	0.0633509606031567	0.0465973592664748	"#F400FFFF"	"#FFA8FFFF"	"#ABFFFFFF"	"#E8C924FF"	"red"	"cyan"	"#0000FFFF"	"#FF0099FF"	"#B8095F"	"#0000FFFF"
2	141	"Ig-2010-237"	"Zamorano Amarillo"	"Michoacan"	"Mich-18"	"Criollo"	"Zamorano Amarillo"	NA	1944	"Jiquilpan"	"Jiquilpan"	"Michoacan"	-102.7166667	19.96666667	1550	"2A_semicalido500-870mm y 4_Jala"	"Ocho Hileras"	"mid"	"Eje Volcanico"	"Altiplanicie"	"Cordillera"	0.0500045734789395	0.0212660543879168	"#FF0064FF"	"#D0FFFFFF"	"#FFF6FFFF"	"#E7D01AFF"	"darkgoldenrod"	"mediumblue"	"#0000FFFF"	"#3300FFFF"	"#FF0000FF"	"blue4"
1	131	"2009-1"	"Tuxpeño"	"Chiapas"	"1"	"Criollo maíz morado"	"Tuxpeño"	NA	2009	"Benito Juárez"	"La Concordia"	"Chiapas"	-92.81925	16.04422222	575	"3A_muycalido990-1360mm"	"Dentados tropicales"	"low"	"Costa del Pacifico"	"Serranias Transismicas"	"Chiapas"	0.112532232471561	0.0588744761967202	"#FF00C8FF"	"#FF9FFFFF"	"#8FFFFFFF"	"#ECB17DFF"	"red"	"springgreen4"	"#00FF00FF"	"#00FF66FF"	"#B8095F"	"#0000FFFF"
1	189	"2009-82"	"Cónico"	"Hidalgo"	"82"	"Maíz amarillo"	"Cónico"	NA	2009	"Ranchería Chichicaxtle"	"Agua Blanca"	"Hidalgo"	-98.37388889	20.35888889	2104	"1B_templado>650mm"	"Cónico"	"high"	"Sierra Madre Oriental"	"Sierra Madre Oriental"	"Mesa Centra"	-0.0930427826319702	0.0574667683772492	"#4EFF00FF"	"#FFDAFFFF"	"#FFE3FFFF"	"#7DCD00FF"	"lightseagreen"	"yellow2"	"#FF0000FF"	"#007D99"	"blue4"	"green3"
1	57	"2009-285"	"Elotes Cónicos"	"Distrito Federal"	"2009-13"	"Rojo"	"Elotes Cónicos"	NA	2009	"San Pedro Atocpan"	"Milpa Alta"	"Distrito Federal"	-99.05027778	19.19166667	2530	""	"Cónico"	"high"	"Eje Volcanico"	"Serranias Meridionales"	"Mesa Centra"	-0.0986950892374589	0.056333423054858	"#00FFBCFF"	"#FFFCFFFF"	"#D3FFFFFF"	"#38B900FF"	"white"	"yellow2"	"#FF0000FF"	"#3300FFFF"	"green3"	"green3"
1	126	"2009-195"	"Tepecintle"	"Chiapas"	"195"	"Criollo penul (negro)"	"Tepecintle"	NA	2009	"Ejido Benito Juárez"	"Motozintla"	"Chiapas"	-92.31925	15.36652778	2050	"3A_muycalido990-1360mm"	"Dentados tropicales"	"high"	"Soconusco"	"Serranias Transismicas"	"Chiapas"	0.00782975788845983	0.061503215080425	"#FF00E9FF"	"#FF96FFFF"	"#8AFFFFFF"	"#9AD400FF"	"red"	"springgreen4"	"#FF0000FF"	"#0068C5"	"#B8095F"	"#0000FFFF"
1	113	"NL-54"	"Ratón"	"Nuevo León"	"NL-2008-054"	"Amarillo Tremés"	"Ratón"	NA	2008	"Rinconada Nuevo León"	"Villa de García"	"Nuevo León"	-100.7042778	25.68125	1001	"2A_semicalido500-870mm"	"Tropicales precoces"	"mid"	"Altiplano Norte (Chihuahuense)"	"Altiplanicie"	"Mesa del No"	0.107631954212606	0.0554077539910461	"#4E00FFFF"	"#DCFFFFFF"	"#FFB0FFFF"	"#EAB64DFF"	"gold"	"red2"	"#0000FFFF"	"#FF0000FF"	"#FF0000FF"	"#865700"
1	138	"2009-14"	"Vandeño"	"Chiapas"	"14"	"Macho (Tuxpeño intermedio)"	"Vandeño"	NA	2009	"Nuevo Vicente Guerrero"	"Villacorzo"	"Chiapas"	-92.97783333	16.04222222	612	"3A_muycalido990-1360mm"	"Dentados tropicales"	"low"	"Costa del Pacifico"	"Serranias Transismicas"	"Chiapas"	0.108856113095126	0.0688959058231112	"#FF0085FF"	"#FFA1FFFF"	"#8DFFFFFF"	"#ECB16FFF"	"red"	"springgreen4"	"#00FF00FF"	"#00FF66FF"	"#B8095F"	"#0000FFFF"
1	63	"2009-41"	"Cacahuacintle"	"Tlaxcala"	"41"	"Cacahuazintle"	"Cacahuacintle"	NA	2008	"San Pablo Zitlaltepec"	"Trinidad Sánchez Santos"	"Tlaxcala"	-97.90083333	19.22194444	2554	"1B_templado>650mm"	"Cónico"	"high"	"Eje Volcanico"	"Serranias Meridionales"	"Mesa Centra"	-0.105819258934107	0.0614118047494367	"#FFC800FF"	"#FFB9FFFF"	"#D7FFFFFF"	"#2DB500FF"	"lightseagreen"	"yellow2"	"#FF0000FF"	"#3300FFFF"	"green3"	"green3"
1	127	"2007-3"	"Tuxpeño"	"Sinaloa"	"SIN-2007-003"	"Maíz Rojo"	"Tuxpeño"	NA	2007	"Malpica"	"Concordia"	"Sinaloa"	-106.1319444	23.25388889	86	"3A_muycalido990-1360mm"	"Dentados tropicales"	"low"	"Costa del Pacifico"	"Planicie Costera del Noroeste"	"Sierras del"	0.0745903487954648	-0.0141931924005657	"#FF00C8FF"	"#B2FFFFFF"	"#FFC2FFFF"	"#F1E1E0FF"	"red"	"springgreen4"	"#00FF00FF"	"#00FF66FF"	"#007D99"	"gold"
1	114	"2007-09"	"Reventador"	"Sonora"	"SON2007-009"	"Reventador"	"Reventador"	NA	2007	"La Isleta"	"Álamos"	"Sonora"	-108.9119444	26.84361111	204	"2A_semicalido500-870mm"	"Chapalote"	"low"	"Costa del Pacifico"	"Costa Pacifica"	"Sierras del"	0.0667711844794945	-0.0459137171387685	"#6F00FFFF"	"#91FFFFFF"	"#FFABFFFF"	"#F0C7BCFF"	"gold"	"orangered3"	"#00FF00FF"	"#00FF66FF"	"#0000FFFF"	"gold"
2	139	"Ig-2010-178"	"Zamorano Amarillo"	"Jalisco"	"Jal-445"	"Criollo"	"Zamorano Amarillo"	NA	NA	"Villa Purificación"	"Purificación"	"Jalisco"	-104.6333333	19.71666667	450	"2A_semicalido500-870mm y 4_Jala"	"Ocho Hileras"	"low"	"Costa del Pacifico"	"Costa Pacifica"	"Sierras del"	0.0998945626645171	0.0324137951723234	"#FF0064FF"	"#C4FFFFFF"	"#F8FFFFFF"	"#EEB799FF"	"darkgoldenrod"	"mediumblue"	"#00FF00FF"	"#00FF66FF"	"#0000FFFF"	"gold"
2	99	"Ig-2010-240"	"Nal-tel de Altura"	"Veracruz"	"VER-115"	"Azul"	"Nal-tel de Altura"	NA	1952	"Ixtaczoquitlan"	"Ixtaczoquitlan"	"Veracruz"	-97.06666667	18.85	920	"3A_muycalido990-1360mm"	"Dentados tropicales"	"low"	"Oaxaca"	"Valle de Tehuacan"	"Complejo de"	0.0716109314178191	0.0452751339311201	"#009BFFFF"	"#FFB2FFFF"	"#BEFFFFFF"	"#EAB457FF"	"red"	"springgreen4"	"#00FF00FF"	"#865700"	"#4F6A00"	"#FF00FFFF"
